# id,beta
1814,2.05741
1815,1.29723
1816,1.47178
1817,55.60327
1818,5.11368
1819,8.37294
1820,3.99301
1821,2.38848
1822,2.58596
1823,1.40825
1824,1.48774
1825,1.89842
1826,2.76929
1827,1.14727
1828,1.22490
1829,2.69180
1830,6.22744
1831,1.42066
1832,1.52218
1833,1.78537
1834,1.88205
1835,1.07073
1836,1.11889
1837,1.40327
1838,1.78586
1839,1.23309
1840,1.11479
1841,1.60009
1842,1.93935
1843,1.78813
1844,1.26552
1845,1.34685
1846,3.48249
1847,1.04916
1848,1.28676
1849,2.46478
1850,6.32398
1851,1.28262
1852,1.73272
1853,1.34394
1854,2.34904
1855,1.02414
1856,1.17069
1857,4.68102
1858,12.51487
1859,1.11216
1860,3.78374
1861,3.36645
1862,8.88476
1863,7.69553
1864,1.33169
1865,1.26239
1866,2.46962
1867,1.19182
1868,1.74867
1869,2.77124
1870,2.21651
